datum,bundesland_id,bundesland_name,altersgruppe_0_bis_17,altersgruppe_18_bis_29,altersgruppe_30_bis_39,altersgruppe_40_bis_49,altersgruppe_50_bis_59,altersgruppe_60_bis_69,altersgruppe_70_bis_79,altersgruppe_80_plus,altersgruppe_unbekannt
2021-04-29,00,Deutschland,14,24,75,179,505,751,657,204,2624
2021-04-30,00,Deutschland,13,30,94,248,687,958,838,255,1901
2021-05-01,00,Deutschland,11,35,90,279,739,1066,931,275,1583
2021-05-02,00,Deutschland,10,41,105,296,771,1096,956,281,1472
2021-05-03,00,Deutschland,10,38,116,299,780,1157,994,315,1298
2021-05-04,00,Deutschland,9,38,112,296,807,1156,1027,320,1189
2021-05-05,00,Deutschland,10,33,116,291,804,1155,1028,311,1091
2021-05-06,00,Deutschland,10,39,130,353,936,1371,1145,326,456
2021-05-07,00,Deutschland,10,38,128,350,909,1328,1102,305,502
2021-05-08,00,Deutschland,11,38,118,326,893,1310,1087,308,516
2021-05-09,00,Deutschland,14,36,113,317,892,1287,1095,304,525
2021-05-10,00,Deutschland,11,43,110,315,898,1304,1109,312,480
2021-05-11,00,Deutschland,11,39,105,303,868,1273,1077,312,472
2021-05-12,00,Deutschland,13,35,103,286,867,1228,1064,296,482
2021-05-13,00,Deutschland,11,38,110,300,856,1228,1065,291,356
2021-05-14,00,Deutschland,7,37,99,291,805,1155,1029,279,477
2021-05-15,00,Deutschland,6,41,97,276,776,1119,1000,250,525
2021-05-16,00,Deutschland,11,41,96,279,766,1134,982,240,516
2021-05-17,00,Deutschland,13,40,99,273,758,1114,961,250,507
2021-05-18,00,Deutschland,13,40,93,272,727,1069,916,237,510
2021-05-19,00,Deutschland,14,34,90,259,689,1019,889,224,489
2021-05-20,00,Deutschland,14,39,90,264,754,1058,866,237,271
2021-05-21,00,Deutschland,13,37,84,249,664,1014,823,217,372
2021-05-22,00,Deutschland,14,36,75,235,660,960,784,218,376
2021-05-23,00,Deutschland,12,33,73,234,651,957,768,210,365
2021-05-24,00,Deutschland,12,33,67,224,657,929,755,207,350
2021-05-25,00,Deutschland,14,39,72,211,626,901,741,205,370
2021-05-26,00,Deutschland,10,36,69,196,582,845,697,190,375
2021-05-27,00,Deutschland,10,33,70,211,562,837,678,186,249
2021-05-28,00,Deutschland,6,33,62,202,517,788,622,165,307
2021-05-29,00,Deutschland,5,31,61,193,492,744,575,153,340
2021-05-30,00,Deutschland,5,31,58,188,470,722,563,141,339
2021-05-31,00,Deutschland,5,31,59,186,475,720,541,142,292
2021-06-01,00,Deutschland,4,29,60,164,450,686,505,120,271
2021-06-02,00,Deutschland,4,29,56,151,422,650,446,103,287
2021-06-03,00,Deutschland,6,25,64,151,432,675,444,112,126
2021-06-04,00,Deutschland,7,21,55,136,390,622,412,107,219
2021-06-05,00,Deutschland,7,18,57,132,379,583,393,104,223
