datum,bundesland_id,bundesland_name,behandlungsgruppe,anzahl_meldebereiche,faelle_covid_aktuell_invasiv_beatmet,faelle_covid_aktuell_nicht_invasiv_beatmet,faelle_covid_aktuell_ecmo
2023-04-11,00,Deutschland,ERWACHSENE,1225,285,110,7
2023-04-23,00,Deutschland,ERWACHSENE,1218,222,83,7
2023-02-23,00,Deutschland,ERWACHSENE,1265,291,143,8
2023-02-22,00,Deutschland,ERWACHSENE,1269,283,121,8
2023-03-09,00,Deutschland,ERWACHSENE,1263,333,182,12
2023-03-17,00,Deutschland,ERWACHSENE,1258,384,196,10
2023-05-02,00,Deutschland,ERWACHSENE,1209,175,64,11
2023-01-09,00,Deutschland,ERWACHSENE,1274,463,190,15
2023-01-22,00,Deutschland,ERWACHSENE,1279,275,79,10
2023-04-04,00,Deutschland,ERWACHSENE,1251,330,159,12
2023-03-15,00,Deutschland,ERWACHSENE,1259,373,191,13
2023-02-13,00,Deutschland,ERWACHSENE,1271,221,99,8
2023-01-23,00,Deutschland,ERWACHSENE,1277,262,76,11
2023-03-06,00,Deutschland,ERWACHSENE,1265,316,190,12
2023-01-29,00,Deutschland,ERWACHSENE,1276,229,65,11
2023-03-08,00,Deutschland,ERWACHSENE,1263,336,189,12
2023-04-26,00,Deutschland,ERWACHSENE,1215,215,66,9
2023-02-18,00,Deutschland,ERWACHSENE,1276,246,106,8
2023-01-27,00,Deutschland,ERWACHSENE,1278,229,76,9
2023-05-01,00,Deutschland,ERWACHSENE,1214,179,69,8
2023-03-28,00,Deutschland,ERWACHSENE,1254,376,182,8
2023-01-25,00,Deutschland,ERWACHSENE,1279,256,76,10
2023-02-16,00,Deutschland,ERWACHSENE,1274,258,98,7
2023-05-03,00,Deutschland,ERWACHSENE,1209,173,65,10
2023-03-01,00,Deutschland,ERWACHSENE,1265,308,161,8
2023-05-05,00,Deutschland,ERWACHSENE,1206,157,66,7
2023-01-03,00,Deutschland,ERWACHSENE,1277,532,233,10
2023-04-09,00,Deutschland,ERWACHSENE,1230,296,128,8
2023-02-10,00,Deutschland,ERWACHSENE,1271,201,93,7
2023-04-27,00,Deutschland,ERWACHSENE,1214,209,68,6
2023-04-29,00,Deutschland,ERWACHSENE,1215,190,68,8
2023-02-07,00,Deutschland,ERWACHSENE,1273,203,82,7
2023-04-21,00,Deutschland,ERWACHSENE,1220,228,93,6
2023-04-15,00,Deutschland,ERWACHSENE,1229,266,97,6
2023-04-24,00,Deutschland,ERWACHSENE,1215,222,83,10
2023-03-07,00,Deutschland,ERWACHSENE,1263,340,185,13
2023-01-26,00,Deutschland,ERWACHSENE,1278,234,76,10
2023-04-07,00,Deutschland,ERWACHSENE,1233,285,135,11
2023-03-10,00,Deutschland,ERWACHSENE,1262,344,176,12
2023-02-02,00,Deutschland,ERWACHSENE,1276,204,76,8
2023-04-14,00,Deutschland,ERWACHSENE,1225,264,97,6
2023-03-13,00,Deutschland,ERWACHSENE,1256,358,191,11
2023-04-06,00,Deutschland,ERWACHSENE,1242,304,140,12
2023-02-08,00,Deutschland,ERWACHSENE,1274,198,104,6
2023-04-16,00,Deutschland,ERWACHSENE,1227,263,97,6
2023-01-20,00,Deutschland,ERWACHSENE,1280,307,92,10
2023-04-02,00,Deutschland,ERWACHSENE,1251,374,165,15
2023-02-01,00,Deutschland,ERWACHSENE,1277,202,81,8
2023-04-13,00,Deutschland,ERWACHSENE,1228,275,109,6
2023-04-10,00,Deutschland,ERWACHSENE,1226,293,113,7
2023-03-24,00,Deutschland,ERWACHSENE,1255,385,205,7
2023-03-23,00,Deutschland,ERWACHSENE,1257,384,208,7
2023-03-27,00,Deutschland,ERWACHSENE,1252,371,182,8
2023-04-25,00,Deutschland,ERWACHSENE,1215,221,72,11
2023-03-14,00,Deutschland,ERWACHSENE,1257,378,183,13
2023-01-30,00,Deutschland,ERWACHSENE,1276,234,77,9
2023-04-28,00,Deutschland,ERWACHSENE,1211,192,67,6
2023-04-17,00,Deutschland,ERWACHSENE,1229,261,98,NA
2023-03-18,00,Deutschland,ERWACHSENE,1260,368,206,10
2023-01-06,00,Deutschland,ERWACHSENE,1273,446,173,10
2023-02-28,00,Deutschland,ERWACHSENE,1268,303,164,8
2023-01-18,00,Deutschland,ERWACHSENE,1279,340,109,11
2023-03-16,00,Deutschland,ERWACHSENE,1260,377,214,13
2023-03-30,00,Deutschland,ERWACHSENE,1256,369,167,14
2023-01-11,00,Deutschland,ERWACHSENE,1281,448,155,13
2023-02-06,00,Deutschland,ERWACHSENE,1273,204,65,7
2023-02-26,00,Deutschland,ERWACHSENE,1266,309,157,8
2023-01-21,00,Deutschland,ERWACHSENE,1280,283,81,10
2023-03-19,00,Deutschland,ERWACHSENE,1255,362,202,9
2023-02-21,00,Deutschland,ERWACHSENE,1271,275,118,7
2023-04-19,00,Deutschland,ERWACHSENE,1227,250,93,7
2023-04-12,00,Deutschland,ERWACHSENE,1227,270,110,6
2023-03-25,00,Deutschland,ERWACHSENE,1256,372,195,8
2023-02-03,00,Deutschland,ERWACHSENE,1276,194,76,9
2023-03-03,00,Deutschland,ERWACHSENE,1265,302,168,9
2023-02-20,00,Deutschland,ERWACHSENE,1273,265,121,8
2023-03-20,00,Deutschland,ERWACHSENE,1257,366,209,8
2023-05-04,00,Deutschland,ERWACHSENE,1208,160,66,7
2023-01-14,00,Deutschland,ERWACHSENE,1281,400,141,11
2023-01-31,00,Deutschland,ERWACHSENE,1275,214,84,9
