datum,bundesland_id,bundesland_name,behandlungsgruppe,behandlungsgruppe_level_2,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_erstaufnahmen,intensivbetten_belegt,intensivbetten_frei,intensivbetten_7_tage_notfallreserve,kapazitaeten_frei_invasive_beatmung_gesamt,kapazitaeten_frei_invasive_beatmung_covid,kapazitaeten_frei_invasive_beatmung_isolationspflichtige_kinder,betriebssituation_regulaerer_betrieb,betriebssituation_teilweise_eingeschraenkt,betriebssituation_eingeschraenkt,betriebssituation_keine_angabe,einschraenkung_beatmungsgeraet,einschraenkung_material,einschraenkung_personal,einschraenkung_raum
2020-03-20,00,Deutschland,Erwachsene,ERWACHSENE,308,200,NA,576,2866,NA,1842,NA,NA,245,42,17,4,NA,NA,NA,NA
2020-03-20,00,Deutschland,Kinder,NICU,4,0,NA,0,20,NA,8,NA,NA,3,1,0,0,NA,NA,NA,NA
2020-03-20,00,Deutschland,Kinder,PICU,5,0,NA,22,35,NA,26,NA,NA,3,0,2,0,NA,NA,NA,NA
2020-03-21,00,Deutschland,Erwachsene,ERWACHSENE,402,308,NA,2828,3554,NA,2309,NA,NA,319,57,22,4,NA,NA,NA,NA
2020-03-21,00,Deutschland,Kinder,NICU,5,0,NA,0,21,NA,8,NA,NA,4,1,0,0,NA,NA,NA,NA
2020-03-21,00,Deutschland,Kinder,PICU,10,0,NA,43,52,NA,36,NA,NA,6,1,3,0,NA,NA,NA,NA
2020-03-22,00,Deutschland,Erwachsene,ERWACHSENE,426,364,NA,3255,3712,NA,2403,NA,NA,335,58,26,7,NA,NA,NA,NA
2020-03-22,00,Deutschland,Kinder,NICU,5,0,NA,1,21,NA,8,NA,NA,4,1,0,0,NA,NA,NA,NA
2020-03-22,00,Deutschland,Kinder,PICU,10,0,NA,44,50,NA,34,NA,NA,6,1,3,0,NA,NA,NA,NA
2020-03-23,00,Deutschland,Erwachsene,ERWACHSENE,463,451,NA,3778,4050,NA,2570,NA,NA,370,59,27,7,NA,NA,NA,NA
2020-03-23,00,Deutschland,Kinder,NICU,5,0,NA,1,21,NA,8,NA,NA,4,1,0,0,NA,NA,NA,NA
2020-03-23,00,Deutschland,Kinder,PICU,11,0,NA,53,50,NA,35,NA,NA,6,2,3,0,NA,NA,NA,NA
2020-03-24,00,Deutschland,Erwachsene,ERWACHSENE,533,616,NA,4856,4712,NA,3005,NA,NA,416,80,30,7,NA,NA,NA,NA
2020-03-24,00,Deutschland,Kinder,NICU,6,0,NA,23,27,NA,12,NA,NA,5,1,0,0,NA,NA,NA,NA
2020-03-24,00,Deutschland,Kinder,PICU,13,0,NA,63,58,NA,39,NA,NA,8,1,4,0,NA,NA,NA,NA
2020-03-25,00,Deutschland,Erwachsene,ERWACHSENE,581,789,NA,5471,5081,NA,3241,NA,NA,468,77,28,8,NA,NA,NA,NA
2020-03-25,00,Deutschland,Kinder,NICU,6,0,NA,23,27,NA,11,NA,NA,5,1,0,0,NA,NA,NA,NA
2020-03-25,00,Deutschland,Kinder,PICU,15,0,NA,102,65,NA,42,NA,NA,9,1,5,0,NA,NA,NA,NA
2020-03-26,00,Deutschland,Erwachsene,ERWACHSENE,591,824,NA,5960,5159,NA,3318,NA,NA,476,80,26,9,NA,NA,NA,NA
2020-03-26,00,Deutschland,Kinder,NICU,5,0,NA,23,24,NA,10,NA,NA,4,1,0,0,NA,NA,NA,NA
2020-03-26,00,Deutschland,Kinder,PICU,15,0,NA,107,56,NA,33,NA,NA,10,1,4,0,NA,NA,NA,NA
2020-03-27,00,Deutschland,Erwachsene,ERWACHSENE,606,905,NA,6274,5389,NA,3532,NA,NA,489,83,26,8,NA,NA,NA,NA
2020-03-27,00,Deutschland,Kinder,NICU,7,0,NA,52,32,NA,13,NA,NA,6,1,0,0,NA,NA,NA,NA
2020-03-27,00,Deutschland,Kinder,PICU,15,0,NA,100,58,NA,32,NA,NA,10,1,4,0,NA,NA,NA,NA
2020-03-28,00,Deutschland,Erwachsene,ERWACHSENE,616,1001,NA,6738,5411,NA,3574,NA,NA,490,91,26,9,NA,NA,NA,NA
2020-03-28,00,Deutschland,Kinder,NICU,7,0,NA,52,34,NA,13,NA,NA,6,1,0,0,NA,NA,NA,NA
2020-03-28,00,Deutschland,Kinder,PICU,14,0,NA,105,52,NA,26,NA,NA,8,2,4,0,NA,NA,NA,NA
2020-03-29,00,Deutschland,Erwachsene,ERWACHSENE,613,1063,NA,6724,5496,NA,3612,NA,NA,490,90,24,9,NA,NA,NA,NA
2020-03-29,00,Deutschland,Kinder,NICU,7,0,NA,51,35,NA,14,NA,NA,6,1,0,0,NA,NA,NA,NA
2020-03-29,00,Deutschland,Kinder,PICU,14,0,NA,99,58,NA,34,NA,NA,9,0,5,0,NA,NA,NA,NA
2020-03-30,00,Deutschland,Erwachsene,ERWACHSENE,622,1203,NA,7069,5626,NA,3701,NA,NA,500,90,23,9,NA,NA,NA,NA
2020-03-30,00,Deutschland,Kinder,NICU,7,0,NA,53,33,NA,13,NA,NA,6,1,0,0,NA,NA,NA,NA
2020-03-30,00,Deutschland,Kinder,PICU,15,0,NA,103,60,NA,34,NA,NA,11,0,4,0,NA,NA,NA,NA
2020-03-31,00,Deutschland,Erwachsene,ERWACHSENE,701,1550,NA,8392,6227,NA,4121,NA,NA,556,107,27,11,NA,NA,NA,NA
2020-03-31,00,Deutschland,Kinder,NICU,7,0,NA,52,34,NA,13,NA,NA,6,1,0,0,NA,NA,NA,NA
2020-03-31,00,Deutschland,Kinder,PICU,15,1,NA,106,76,NA,42,NA,NA,12,0,3,0,NA,NA,NA,NA
2020-04-01,00,Deutschland,Erwachsene,ERWACHSENE,789,1784,NA,9345,7094,NA,4710,NA,NA,626,121,32,10,NA,NA,NA,NA
2020-04-01,00,Deutschland,Kinder,NICU,8,0,NA,52,40,NA,18,NA,NA,6,1,1,0,NA,NA,NA,NA
2020-04-01,00,Deutschland,Kinder,PICU,13,1,NA,73,80,NA,37,NA,NA,10,0,3,0,NA,NA,NA,NA
2020-04-02,00,Deutschland,Erwachsene,ERWACHSENE,866,2102,NA,10662,8017,NA,5337,NA,NA,691,130,34,11,NA,NA,NA,NA
2020-04-02,00,Deutschland,Kinder,NICU,9,0,NA,56,38,NA,18,NA,NA,8,0,1,0,NA,NA,NA,NA
2020-04-02,00,Deutschland,Kinder,PICU,13,1,NA,89,72,NA,34,NA,NA,9,1,3,0,NA,NA,NA,NA
2020-04-03,00,Deutschland,Erwachsene,ERWACHSENE,938,2361,NA,11708,8429,NA,5548,NA,NA,744,142,37,15,NA,NA,NA,NA
2020-04-03,00,Deutschland,Kinder,NICU,11,0,NA,68,52,NA,23,NA,NA,9,1,1,0,NA,NA,NA,NA
2020-04-03,00,Deutschland,Kinder,PICU,16,3,NA,112,85,NA,54,NA,NA,12,1,3,0,NA,NA,NA,NA
2020-04-04,00,Deutschland,Erwachsene,ERWACHSENE,983,2471,NA,11904,8689,NA,5708,NA,NA,783,138,42,19,1,1,3,1
2020-04-04,00,Deutschland,Kinder,NICU,11,0,NA,90,52,NA,23,NA,NA,8,1,1,0,NA,NA,NA,NA
2020-04-04,00,Deutschland,Kinder,PICU,15,3,NA,105,84,NA,52,NA,NA,11,1,3,0,NA,NA,NA,NA
2020-04-05,00,Deutschland,Erwachsene,ERWACHSENE,982,2528,NA,11931,8805,NA,5816,NA,NA,771,139,41,28,4,4,12,2
2020-04-05,00,Deutschland,Kinder,NICU,11,0,NA,90,52,NA,23,NA,NA,7,1,1,0,NA,NA,NA,NA
2020-04-05,00,Deutschland,Kinder,PICU,15,3,NA,111,79,NA,50,NA,NA,11,1,3,0,NA,NA,NA,NA
2020-04-06,00,Deutschland,Erwachsene,ERWACHSENE,978,2551,NA,11985,8809,NA,5813,NA,NA,751,137,44,43,14,13,34,10
2020-04-06,00,Deutschland,Kinder,NICU,10,0,NA,84,50,NA,24,NA,NA,8,1,1,0,NA,NA,NA,NA
2020-04-06,00,Deutschland,Kinder,PICU,16,3,NA,101,91,NA,57,NA,NA,11,1,4,0,0,0,0,0
2020-04-07,00,Deutschland,Erwachsene,ERWACHSENE,977,2641,NA,11927,8806,NA,5877,NA,NA,719,133,55,69,24,20,56,19
2020-04-07,00,Deutschland,Kinder,NICU,9,0,NA,65,47,NA,23,NA,NA,7,1,1,0,NA,NA,NA,NA
2020-04-07,00,Deutschland,Kinder,PICU,15,3,NA,100,87,NA,54,NA,NA,10,1,4,0,0,0,0,0
2020-04-08,00,Deutschland,Erwachsene,ERWACHSENE,978,2654,NA,12515,8967,NA,6007,NA,NA,708,115,65,89,30,29,84,27
