datum,bundesland_id,bundesland_name,versorgungsstufe,anzahl_meldebereiche,faelle_covid_aktuell,intensivbetten_belegt,intensivbetten_frei
2023-05-05,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,274,155,6461,767
2023-05-05,00,Deutschland,GRUND_UND_REGELVERSORGUNG,740,165,5694,1498
2023-05-05,00,Deutschland,SCHWERPUNKTVERSORGUNG,457,105,5748,1056
2023-05-05,00,Deutschland,FACHKLINIK,66,16,621,72
2023-05-05,00,Deutschland,nicht angegeben,16,9,178,18
2023-05-04,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,276,154,6514,725
2023-05-04,00,Deutschland,GRUND_UND_REGELVERSORGUNG,738,162,5696,1490
2023-05-04,00,Deutschland,SCHWERPUNKTVERSORGUNG,457,110,5763,1051
2023-05-04,00,Deutschland,FACHKLINIK,66,15,609,88
2023-05-04,00,Deutschland,nicht angegeben,16,9,177,21
2023-05-03,00,Deutschland,SCHWERPUNKTVERSORGUNG,460,113,5827,1060
2023-05-03,00,Deutschland,GRUND_UND_REGELVERSORGUNG,743,176,5692,1526
2023-05-03,00,Deutschland,FACHKLINIK,66,16,628,84
2023-05-03,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,274,162,6526,753
2023-05-03,00,Deutschland,nicht angegeben,16,4,181,17
2023-05-02,00,Deutschland,GRUND_UND_REGELVERSORGUNG,740,176,5604,1591
2023-05-02,00,Deutschland,SCHWERPUNKTVERSORGUNG,458,127,5700,1150
2023-05-02,00,Deutschland,FACHKLINIK,66,16,613,96
2023-05-02,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,274,184,6428,903
2023-05-02,00,Deutschland,nicht angegeben,16,4,173,26
2023-05-01,00,Deutschland,SCHWERPUNKTVERSORGUNG,459,129,5685,1151
2023-05-01,00,Deutschland,GRUND_UND_REGELVERSORGUNG,744,191,5551,1658
2023-05-01,00,Deutschland,FACHKLINIK,67,15,604,106
2023-05-01,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,273,178,6347,879
2023-05-01,00,Deutschland,nicht angegeben,16,3,174,23
2023-04-30,00,Deutschland,SCHWERPUNKTVERSORGUNG,457,133,5729,1120
2023-04-30,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,273,172,6400,834
2023-04-30,00,Deutschland,GRUND_UND_REGELVERSORGUNG,746,190,5536,1669
2023-04-30,00,Deutschland,FACHKLINIK,67,14,590,122
2023-04-30,00,Deutschland,nicht angegeben,16,3,159,25
2023-04-29,00,Deutschland,GRUND_UND_REGELVERSORGUNG,748,187,5687,1516
2023-04-29,00,Deutschland,SCHWERPUNKTVERSORGUNG,458,140,5826,1067
2023-04-29,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,272,171,6474,796
2023-04-29,00,Deutschland,FACHKLINIK,67,15,620,105
2023-04-29,00,Deutschland,nicht angegeben,15,3,156,23
2023-04-28,00,Deutschland,GRUND_UND_REGELVERSORGUNG,745,186,5753,1452
2023-04-28,00,Deutschland,SCHWERPUNKTVERSORGUNG,460,140,5906,1036
2023-04-28,00,Deutschland,FACHKLINIK,67,16,637,97
2023-04-28,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,274,175,6535,804
2023-04-28,00,Deutschland,nicht angegeben,14,3,158,22
2023-04-27,00,Deutschland,FACHKLINIK,67,14,625,107
2023-04-27,00,Deutschland,GRUND_UND_REGELVERSORGUNG,743,205,5843,1442
2023-04-27,00,Deutschland,SCHWERPUNKTVERSORGUNG,461,135,5879,1084
2023-04-27,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,276,190,6558,773
2023-04-27,00,Deutschland,nicht angegeben,14,1,158,24
2023-04-26,00,Deutschland,SCHWERPUNKTVERSORGUNG,461,130,5896,1043
2023-04-26,00,Deutschland,GRUND_UND_REGELVERSORGUNG,744,213,5903,1438
2023-04-26,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,278,192,6545,790
2023-04-26,00,Deutschland,FACHKLINIK,68,18,662,95
2023-04-26,00,Deutschland,nicht angegeben,14,1,144,38
2023-04-25,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,194,6585,745
2023-04-25,00,Deutschland,SCHWERPUNKTVERSORGUNG,462,153,5849,1052
2023-04-25,00,Deutschland,GRUND_UND_REGELVERSORGUNG,746,223,5845,1518
2023-04-25,00,Deutschland,nicht angegeben,14,1,153,29
2023-04-25,00,Deutschland,FACHKLINIK,68,18,673,84
2023-04-24,00,Deutschland,SCHWERPUNKTVERSORGUNG,462,166,5724,1134
2023-04-24,00,Deutschland,GRUND_UND_REGELVERSORGUNG,747,239,5781,1543
2023-04-24,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,278,196,6473,814
2023-04-24,00,Deutschland,FACHKLINIK,68,17,636,101
2023-04-24,00,Deutschland,nicht angegeben,14,2,162,20
2023-04-23,00,Deutschland,SCHWERPUNKTVERSORGUNG,462,164,5731,1137
2023-04-23,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,196,6409,832
2023-04-23,00,Deutschland,FACHKLINIK,67,14,634,90
2023-04-23,00,Deutschland,GRUND_UND_REGELVERSORGUNG,748,233,5740,1511
2023-04-23,00,Deutschland,nicht angegeben,14,2,155,24
2023-04-22,00,Deutschland,SCHWERPUNKTVERSORGUNG,463,171,5817,1080
2023-04-22,00,Deutschland,GRUND_UND_REGELVERSORGUNG,750,221,5815,1452
2023-04-22,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,277,199,6495,782
2023-04-22,00,Deutschland,FACHKLINIK,67,12,647,79
2023-04-22,00,Deutschland,nicht angegeben,14,2,157,22
2023-04-21,00,Deutschland,FACHKLINIK,67,12,642,92
2023-04-21,00,Deutschland,SCHWERPUNKTVERSORGUNG,462,176,5850,1049
2023-04-21,00,Deutschland,GRUND_UND_REGELVERSORGUNG,748,229,5905,1421
2023-04-21,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,207,6596,748
2023-04-21,00,Deutschland,nicht angegeben,14,2,161,17
2023-04-20,00,Deutschland,SCHWERPUNKTVERSORGUNG,462,183,5890,1017
2023-04-20,00,Deutschland,GRUND_UND_REGELVERSORGUNG,752,231,5896,1459
2023-04-20,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,278,207,6608,759
2023-04-20,00,Deutschland,FACHKLINIK,69,12,680,87
2023-04-20,00,Deutschland,nicht angegeben,14,3,159,20
2023-04-19,00,Deutschland,SCHWERPUNKTVERSORGUNG,463,194,5850,1061
2023-04-19,00,Deutschland,FACHKLINIK,70,13,678,91
2023-04-19,00,Deutschland,GRUND_UND_REGELVERSORGUNG,751,243,5896,1450
2023-04-19,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,209,6626,758
2023-04-19,00,Deutschland,nicht angegeben,14,3,159,22
2023-04-18,00,Deutschland,SCHWERPUNKTVERSORGUNG,463,206,5834,1055
2023-04-18,00,Deutschland,GRUND_UND_REGELVERSORGUNG,751,255,5850,1487
2023-04-18,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,277,216,6580,765
2023-04-18,00,Deutschland,FACHKLINIK,70,13,678,90
2023-04-18,00,Deutschland,nicht angegeben,14,4,162,19
2023-04-17,00,Deutschland,SCHWERPUNKTVERSORGUNG,464,216,5724,1207
2023-04-17,00,Deutschland,GRUND_UND_REGELVERSORGUNG,751,255,5678,1589
2023-04-17,00,Deutschland,FACHKLINIK,70,14,659,102
2023-04-17,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,280,211,6472,840
2023-04-17,00,Deutschland,nicht angegeben,14,4,166,15
2023-04-16,00,Deutschland,GRUND_UND_REGELVERSORGUNG,752,258,5596,1623
2023-04-16,00,Deutschland,SCHWERPUNKTVERSORGUNG,465,218,5691,1236
2023-04-16,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,204,6439,813
2023-04-16,00,Deutschland,FACHKLINIK,70,16,648,101
2023-04-16,00,Deutschland,nicht angegeben,14,4,158,22
2023-04-15,00,Deutschland,GRUND_UND_REGELVERSORGUNG,752,271,5737,1517
2023-04-15,00,Deutschland,SCHWERPUNKTVERSORGUNG,464,225,5804,1141
2023-04-15,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,277,194,6459,791
2023-04-15,00,Deutschland,FACHKLINIK,69,16,657,97
2023-04-15,00,Deutschland,nicht angegeben,14,3,156,24
2023-04-14,00,Deutschland,GRUND_UND_REGELVERSORGUNG,753,284,5786,1477
2023-04-14,00,Deutschland,SCHWERPUNKTVERSORGUNG,463,216,5815,1113
2023-04-14,00,Deutschland,FACHKLINIK,69,15,678,90
2023-04-14,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,201,6494,785
2023-04-14,00,Deutschland,nicht angegeben,14,3,159,20
2023-04-13,00,Deutschland,SCHWERPUNKTVERSORGUNG,463,220,5797,1123
2023-04-13,00,Deutschland,GRUND_UND_REGELVERSORGUNG,752,296,5854,1475
2023-04-13,00,Deutschland,FACHKLINIK,69,16,668,96
2023-04-13,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,211,6555,786
2023-04-13,00,Deutschland,nicht angegeben,14,2,161,18
2023-04-12,00,Deutschland,SCHWERPUNKTVERSORGUNG,464,229,5820,1151
2023-04-12,00,Deutschland,GRUND_UND_REGELVERSORGUNG,754,299,5806,1546
2023-04-12,00,Deutschland,FACHKLINIK,69,20,669,98
2023-04-12,00,Deutschland,nicht angegeben,14,1,160,21
2023-04-12,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,279,218,6491,813
2023-04-11,00,Deutschland,GRUND_UND_REGELVERSORGUNG,759,315,5684,1655
2023-04-11,00,Deutschland,SCHWERPUNKTVERSORGUNG,466,247,5781,1211
2023-04-11,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,278,224,6434,862
2023-04-11,00,Deutschland,FACHKLINIK,69,18,662,100
2023-04-11,00,Deutschland,nicht angegeben,14,4,159,22
2023-04-10,00,Deutschland,SCHWERPUNKTVERSORGUNG,466,245,5705,1282
2023-04-10,00,Deutschland,GRUND_UND_REGELVERSORGUNG,757,304,5565,1722
2023-04-10,00,Deutschland,FACHKLINIK,69,15,614,103
2023-04-10,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,280,231,6328,902
